pin,slack
dac_0/DELTA_ADDER_0/data_out_1[7]:Q,592
AND2_0/U0:A,
AND2_0/U0:B,
AND2_0/U0:Y,
spi_slave_0/TxData[5]:ALn,
spi_slave_0/TxData[5]:CLK,2002
spi_slave_0/TxData[5]:D,2002
spi_slave_0/TxData[5]:Q,2002
spi_slave_0/TxData[5]:SLn,200
spi_slave_0/RxdData[8]:ALn,
spi_slave_0/RxdData[8]:CLK,1994
spi_slave_0/RxdData[8]:D,1994
spi_slave_0/RxdData[8]:EN,468
spi_slave_0/RxdData[8]:Q,1994
dac_0/SIGMA_ADDER_0/temp_reg_s_17:B,737
dac_0/SIGMA_ADDER_0/temp_reg_s_17:C,640
dac_0/SIGMA_ADDER_0/temp_reg_s_17:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_s_17:S,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_8:A,705
dac_0/SIGMA_ADDER_0/temp_reg_cry_8:B,611
dac_0/SIGMA_ADDER_0/temp_reg_cry_8:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_8:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_8:S,630
dac_1/DELTA_ADDER_0/data_out_1[15]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[15]:CLK,744
dac_1/DELTA_ADDER_0/data_out_1[15]:D,
dac_1/DELTA_ADDER_0/data_out_1[15]:Q,744
spi_slave_0/RxdData[7]:ALn,
spi_slave_0/RxdData[7]:CLK,1994
spi_slave_0/RxdData[7]:D,1994
spi_slave_0/RxdData[7]:EN,468
spi_slave_0/RxdData[7]:Q,1994
data_receiver_0/data[13]:ALn,
data_receiver_0/data[13]:CLK,
data_receiver_0/data[13]:D,
data_receiver_0/data[13]:Q,
spi_slave_0/SPI_DONE_inferred_clock_RNIDF25/U0:An,
spi_slave_0/SPI_DONE_inferred_clock_RNIDF25/U0:YNn,
dac_1/DELTA_ADDER_0/data_out_1[3]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[3]:CLK,516
dac_1/DELTA_ADDER_0/data_out_1[3]:D,
dac_1/DELTA_ADDER_0/data_out_1[3]:Q,516
spi_sck_ibuf/U0/U_IOPAD:PAD,
spi_sck_ibuf/U0/U_IOPAD:Y,
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3_3:A,-188
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3_3:B,-286
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3_3:C,-345
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3_3:D,-504
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3_3:Y,-504
spi_slave_0/RxdData[11]:ALn,
spi_slave_0/RxdData[11]:CLK,1994
spi_slave_0/RxdData[11]:D,1994
spi_slave_0/RxdData[11]:EN,468
spi_slave_0/RxdData[11]:Q,1994
data_receiver_0/data[27]:ALn,
data_receiver_0/data[27]:CLK,
data_receiver_0/data[27]:D,
data_receiver_0/data[27]:Q,
dac_0/SIGMA_ADDER_0/sigma_register[12]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[12]:CLK,781
dac_0/SIGMA_ADDER_0/sigma_register[12]:D,554
dac_0/SIGMA_ADDER_0/sigma_register[12]:Q,781
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_6:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_6:IPC,
spi_slave_0/index_n3_i_o2_0:A,-228
spi_slave_0/index_n3_i_o2_0:B,-327
spi_slave_0/index_n3_i_o2_0:C,-395
spi_slave_0/index_n3_i_o2_0:D,-495
spi_slave_0/index_n3_i_o2_0:Y,-495
spi_slave_0/RxdData[29]:ALn,
spi_slave_0/RxdData[29]:CLK,1994
spi_slave_0/RxdData[29]:D,1994
spi_slave_0/RxdData[29]:EN,468
spi_slave_0/RxdData[29]:Q,1994
dac_1/DELTA_ADDER_0/data_out_1[4]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[4]:CLK,535
dac_1/DELTA_ADDER_0/data_out_1[4]:D,
dac_1/DELTA_ADDER_0/data_out_1[4]:Q,535
spi_slave_0/TxData[21]:ALn,
spi_slave_0/TxData[21]:CLK,2002
spi_slave_0/TxData[21]:D,2002
spi_slave_0/TxData[21]:Q,2002
spi_slave_0/TxData[21]:SLn,200
dac_1/DELTA_ADDER_0/data_out_1[16]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[16]:CLK,737
dac_1/DELTA_ADDER_0/data_out_1[16]:D,1986
dac_1/DELTA_ADDER_0/data_out_1[16]:Q,737
dac_1/SIGMA_ADDER_0/sigma_register[11]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[11]:CLK,762
dac_1/SIGMA_ADDER_0/sigma_register[11]:D,573
dac_1/SIGMA_ADDER_0/sigma_register[11]:Q,762
dac_out_right_obuf/U0/U_IOENFF:A,
dac_out_right_obuf/U0/U_IOENFF:Y,
dac_0/DELTA_ADDER_0/data_out_1[0]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[0]:CLK,459
dac_0/DELTA_ADDER_0/data_out_1[0]:D,
dac_0/DELTA_ADDER_0/data_out_1[0]:Q,459
spi_slave_0/TxData[31]:ALn,
spi_slave_0/TxData[31]:CLK,
spi_slave_0/TxData[31]:D,2002
spi_slave_0/TxData[31]:Q,
spi_slave_0/TxData[31]:SLn,200
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_13:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_13:IPC,
dac_0/DELTA_ADDER_0/data_out_1[9]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[9]:CLK,630
dac_0/DELTA_ADDER_0/data_out_1[9]:D,
dac_0/DELTA_ADDER_0/data_out_1[9]:Q,630
spi_slave_0/RxdData[12]:ALn,
spi_slave_0/RxdData[12]:CLK,1994
spi_slave_0/RxdData[12]:D,1994
spi_slave_0/RxdData[12]:EN,468
spi_slave_0/RxdData[12]:Q,1994
spi_slave_0/TxData[11]:ALn,
spi_slave_0/TxData[11]:CLK,2002
spi_slave_0/TxData[11]:D,2002
spi_slave_0/TxData[11]:Q,2002
spi_slave_0/TxData[11]:SLn,200
spi_slave_0/SS_latched:ALn,
spi_slave_0/SS_latched:CLK,-314
spi_slave_0/SS_latched:D,
spi_slave_0/SS_latched:Q,-314
FCCC_C0_0/FCCC_C0_0/GL0_INST/U0:An,
FCCC_C0_0/FCCC_C0_0/GL0_INST/U0:YNn,
dac_1/SIGMA_ADDER_0/temp_reg_cry_4:A,629
dac_1/SIGMA_ADDER_0/temp_reg_cry_4:B,535
dac_1/SIGMA_ADDER_0/temp_reg_cry_4:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_4:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_4:S,706
spi_slave_0/TxData[1]:ALn,
spi_slave_0/TxData[1]:CLK,2002
spi_slave_0/TxData[1]:D,2002
spi_slave_0/TxData[1]:Q,2002
spi_slave_0/TxData[1]:SLn,200
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_0:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_0:IPB,
spi_slave_0/RxdData[14]:ALn,
spi_slave_0/RxdData[14]:CLK,1994
spi_slave_0/RxdData[14]:D,1994
spi_slave_0/RxdData[14]:EN,468
spi_slave_0/RxdData[14]:Q,1994
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_5:IPB,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_5:IPC,
dac_1/DELTA_ADDER_0/data_out_1[1]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[1]:CLK,478
dac_1/DELTA_ADDER_0/data_out_1[1]:D,
dac_1/DELTA_ADDER_0/data_out_1[1]:Q,478
dac_0/SIGMA_ADDER_0/temp_reg_cry_4:A,629
dac_0/SIGMA_ADDER_0/temp_reg_cry_4:B,535
dac_0/SIGMA_ADDER_0/temp_reg_cry_4:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_4:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_4:S,706
DEVRST_N,
spi_mosi,
spi_sck,
spi_ss,
dac_out_left,
dac_out_right,
spi_miso,
